name,molecule,dosage_form,date_of_approval,company,treatment_for,url,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,side_effects_url,Availability,Pregnancy & Lactation,CSA Schedule*,Approval History,WADA Class,most_reviewed_condition,most_reviewed_rating,n_reviews,number_side_effects,price,shop_dosis,prices_url
FluMist,"Influenza Virus Vaccine, Live, Intranasal",,"June 17, 2003","MedImmune Vaccines, Inc",Influenza Prophylaxis,https://www.drugs.com/flumist.html,https://www.drugs.com/mtm/influenza-virus-vaccine-nasal.html,Viral vaccines,,"Tamiflu, oseltamivir, Xofluza, Afluria, influenza virus vaccine, inactivated, Fluzone",3.3,14,https://www.drugs.com/comments/influenza-virus-vaccine-live/flumist.html,https://www.drugs.com/sfx/flumist-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,Influenza Prophylaxis  ,3.3,14,9.0,$248.10,quadrivalent,https://www.drugs.com/price-guide/flumist
Focalin XR,dexmethylphenidate,Extended-Release Capsules,"May 26, 2005",Novartis Pharmaceuticals Corporation,ADHD,https://www.drugs.com/focalin.html,https://www.drugs.com/mtm/dexmethylphenidate.html,Focalin XR,,"Adderall, Vyvanse, methylphenidate, atomoxetine, Ritalin, Concerta",5.7,138,https://www.drugs.com/comments/dexmethylphenidate/focalin.html,https://www.drugs.com/sfx/focalin-side-effects.html,Prescription only,Risk data available,High potential for abuse,Drug history at FDA,,ADHD  ,5.7,137,1.0,$80.85,2.5 mg,https://www.drugs.com/price-guide/focalin
Follistim AQ,follitropin beta,Injection,"March 24, 2004",Organon USA Inc.,"Female Infertility, Hypogonadism, Male, Ovulation Induction",https://www.drugs.com/follistim.html,https://www.drugs.com/mtm/follicle-stimulating-hormone.html,Gonadotropins,,,,,,https://www.drugs.com/sfx/follistim-aq-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,1.0,,,
Folotyn,pralatrexate,Injection,"September 24, 2009","Allos Therapeutics, Inc.",Peripheral T-cell Lymphoma,https://www.drugs.com/folotyn.html,https://www.drugs.com/mtm/pralatrexate.html,Antimetabolites,,,,,,https://www.drugs.com/sfx/folotyn-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2009,,,,,39.0,"$15,010.01",20 mg/mL,https://www.drugs.com/price-guide/folotyn
Forfivo XL,bupropion hydrochloride,Extended Release Tablets,"November 10, 2011",IntelGenx Corp.,Depression,https://www.drugs.com/forfivo-xl.html,https://www.drugs.com/bupropion.html,Miscellaneous antidepressants,,"sertraline, trazodone, Lexapro, citalopram, Zoloft, Cymbalta, Wellbutrin",,,,https://www.drugs.com/sfx/forfivo-xl-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,8.0,$503.66,450 mg/24 hours,https://www.drugs.com/price-guide/forfivo-xl
Fortesta,testosterone,Gel,"December 29, 2010",Endo Pharmaceuticals,"Hypogonadism, Male",https://www.drugs.com/fortesta.html,https://www.drugs.com/testosterone.html,Androgens and anabolic steroids,,"testosterone, AndroGel, Depo-Testosterone, Xyosted, Pregnyl, HCG",7.2,28,https://www.drugs.com/comments/testosterone/fortesta.html,https://www.drugs.com/sfx/fortesta-side-effects.html,Prescription only,Risk data available,Moderate abuse potential,Drug history at FDA,Anti-Doping Classification,"Hypogonadism, Male  ",7.2,27,3.0,$445.62,10 mg/0.5 g,https://www.drugs.com/price-guide/fortesta
Fortical,calcitonin,Nasal Spray,"August 12, 2005","Unigene / Upsher-Smith Laboratories, Inc.",Osteoporosis,https://www.drugs.com/fortical.html,https://www.drugs.com/mtm/calcitonin-injection.html,Miacalcin Nasal,,,,,,https://www.drugs.com/sfx/fortical-side-effects.html,Discontinued,Risk data available,Not a controlled drug,Drug history at FDA,,,,,1.0,$97.51,200 intl units/inh,https://www.drugs.com/price-guide/fortical
Fosamax Plus D,alendronate and cholecalciferol,Tablets,"April 7, 2005","Merck & Co., Inc.",Osteoporosis,https://www.drugs.com/fosamax_plus_d.html,https://www.drugs.com/mtm/alendronate-and-cholecalciferol.html,Bisphosphonates,,,,,,https://www.drugs.com/sfx/fosamax-plus-d-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,6.0,,,
Fosrenol,lanthanum carbonate,Chewable Tablets,"October 26, 2004",Shire Pharmaceuticals Group plc,Hyperphosphatemia of Renal Failure,https://www.drugs.com/fosrenol.html,https://www.drugs.com/mtm/lanthanum-carbonate.html,Phosphate binders,,"sucralfate, Carafate, sevelamer, Renvela, Velphoro, Auryxia",,,,https://www.drugs.com/sfx/fosrenol-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2004,,,,,1.0,"$1,147.39",750 mg,https://www.drugs.com/price-guide/fosrenol
Fotivda,tivozanib,Capsules,"March 10, 2021",AVEO Oncology,Renal Cell Carcinoma,https://www.drugs.com/fotivda.html,https://www.drugs.com/mtm/tivozanib.html,VEGF/VEGFR  inhibitors,,,,,,https://www.drugs.com/sfx/fotivda-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2021,,,,,77.0,"$30,967.70",890 mcg,https://www.drugs.com/price-guide/fotivda
Fruzaqla,fruquintinib,Capsules,"November 8, 2023",Takeda,Colorectal Cancer,https://www.drugs.com/fruzaqla.html,https://www.drugs.com/mtm/fruquintinib.html,Multikinase inhibitors,,,,,,https://www.drugs.com/sfx/fruzaqla-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2023,,,,,29.0,"$6,643.40",1 mg,https://www.drugs.com/price-guide/fruzaqla
Furoscix,furosemide,Injection,"October 7, 2022","scPharmaceuticals, Inc.",Heart Failure,https://www.drugs.com/furoscix.html,https://www.drugs.com/furosemide.html,,,,,,,https://www.drugs.com/sfx/furoscix-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,Anti-Doping Classification,,,,1.0,$955.14,80 mg/10 mL,https://www.drugs.com/price-guide/furoscix
Fuzeon,enfuvirtide,,"March 13, 2003",Roche,HIV Infection,https://www.drugs.com/fuzeon.html,https://www.drugs.com/mtm/enfuvirtide.html,Miscellaneous antivirals,,,,,,https://www.drugs.com/sfx/fuzeon-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2003,,,,,9.0,"$3,785.09",90 mg,https://www.drugs.com/price-guide/fuzeon
Fycompa,perampanel,Tablets and Oral Suspension,"October 22, 2012",Eisai Inc.,"Epilepsy, Seizures",https://www.drugs.com/fycompa.html,https://www.drugs.com/mtm/perampanel.html,AMPA receptor antagonists,,"gabapentin, clonazepam, lamotrigine, lorazepam, pregabalin, topiramate, diazepam",5.8,64,https://www.drugs.com/comments/perampanel/fycompa.html,https://www.drugs.com/sfx/fycompa-side-effects.html,Prescription only,Risk data available,Moderate abuse potential, FDA approved 2012,,Epilepsy  ,6.0,46,15.0,"$1,678.51",0.5 mg/mL,https://www.drugs.com/price-guide/fycompa
Gablofen,baclofen,Injection,"November 19, 2010",CNS Therapeutics,"Cerebral Spasticity, Chronic Spasticity",https://www.drugs.com/gablofen.html,https://www.drugs.com/baclofen.html,Skeletal muscle relaxants,,"cyclobenzaprine, baclofen, methocarbamol, tizanidine, diazepam, Botox, Soma",,,,https://www.drugs.com/sfx/gablofen-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,1.0,$102.08,0.05 mg/mL,https://www.drugs.com/price-guide/gablofen
Gadavist,gadobutrol,Injection,"March 14, 2011",Bayer HealthCare Pharmaceuticals Inc.,Diagnosis and Investigation,https://www.drugs.com/gadavist.html,https://www.drugs.com/mtm/gadobutrol.html,Magnetic resonance imaging contrast media,,"glucagon, mannitol, Lexiscan, Ceretec, arginine, Magnevist, metyrapone",1.1,8,https://www.drugs.com/comments/gadobutrol/gadavist.html,https://www.drugs.com/sfx/gadavist-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,CNS Magnetic Resonance Imaging  ,1.2,6,18.0,$80.31,604.72 mg/mL,https://www.drugs.com/price-guide/gadavist
Galafold,migalastat,Capsules,"August 10, 2018",Amicus Therapeutics,Fabry Disease,https://www.drugs.com/galafold.html,https://www.drugs.com/mtm/migalastat.html,Miscellaneous metabolic agents,,"Fabrazyme, agalsidase beta, Elfabrio, migalastat",,,,https://www.drugs.com/sfx/galafold-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2018,,,,,5.0,"$31,483.67",123 mg,https://www.drugs.com/price-guide/galafold
Gammagard Liquid,,,"April 27, 2005","Takeda Pharmaceuticals U.S.A., Inc.","Primary Immunodeficiency Syndrome, Multifocal Motor Neuropathy, Chronic Inflammatory Demyelinating Polyradiculoneuropathy",https://www.drugs.com/gammagard-liquid.html,https://www.drugs.com/mtm/immune-globulin-intravenous-and-subcutaneous.html,Immune globulins,,"azathioprine, Imuran, Hizentra, Privigen, Betaseron, Octagam, Cuvitru",,,,https://www.drugs.com/sfx/gammagard-liquid-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,6.0,$188.00,10%,https://www.drugs.com/price-guide/gammagard-liquid
Gamunex,,,"August 27, 2003",Bayer Corporation,"Primary Immunodeficiency Syndrome, Immune Thrombocytopenia, Chronic Inflammatory Demyelinating Polyradiculoneuropathy",https://www.drugs.com/gamunex.html,https://www.drugs.com/mtm/immune-globulin-intravenous-and-subcutaneous.html,Immune globulins,,,8.3,11,https://www.drugs.com/comments/immune-globulin-intravenous-and-subcutaneous/gamunex-c.html,https://www.drugs.com/sfx/gamunex-c-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,Chronic Inflammatory Demyelinating Polyradiculoneuropathy  ,9.0,4,6.0,,,
Gamunex,,,"August 27, 2003",Bayer Corporation,"Primary Immunodeficiency Syndrome, Immune Thrombocytopenia, Chronic Inflammatory Demyelinating Polyradiculoneuropathy",https://www.drugs.com/gamunex.html,https://www.drugs.com/mtm/immune-globulin-intravenous-and-subcutaneous.html,Immune globulins,,,8.3,11,https://www.drugs.com/comments/immune-globulin-intravenous-and-subcutaneous/gamunex-c.html,https://www.drugs.com/sfx/gamunex-c-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,Chronic Inflammatory Demyelinating Polyradiculoneuropathy  ,9.0,4,6.0,,,
Gamunex,,,"August 27, 2003",Bayer Corporation,"Primary Immunodeficiency Syndrome, Immune Thrombocytopenia, Chronic Inflammatory Demyelinating Polyradiculoneuropathy",https://www.drugs.com/gamunex.html,https://www.drugs.com/mtm/immune-globulin-intravenous-and-subcutaneous.html,Immune globulins,,,8.3,11,https://www.drugs.com/comments/immune-globulin-intravenous-and-subcutaneous/gamunex-c.html,https://www.drugs.com/sfx/gamunex-c-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,Chronic Inflammatory Demyelinating Polyradiculoneuropathy  ,9.0,4,6.0,,,
Gamunex,,,"August 27, 2003",Bayer Corporation,"Primary Immunodeficiency Syndrome, Immune Thrombocytopenia, Chronic Inflammatory Demyelinating Polyradiculoneuropathy",https://www.drugs.com/gamunex.html,https://www.drugs.com/mtm/immune-globulin-intravenous-and-subcutaneous.html,Immune globulins,,,8.3,11,https://www.drugs.com/comments/immune-globulin-intravenous-and-subcutaneous/gamunex-c.html,https://www.drugs.com/sfx/gamunex-c-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,Chronic Inflammatory Demyelinating Polyradiculoneuropathy  ,9.0,4,6.0,,,
Gamunex,,,"August 27, 2003",Bayer Corporation,"Primary Immunodeficiency Syndrome, Immune Thrombocytopenia, Chronic Inflammatory Demyelinating Polyradiculoneuropathy",https://www.drugs.com/gamunex.html,https://www.drugs.com/mtm/immune-globulin-intravenous-and-subcutaneous.html,Immune globulins,,,8.3,11,https://www.drugs.com/comments/immune-globulin-intravenous-and-subcutaneous/gamunex-c.html,https://www.drugs.com/sfx/gamunex-c-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,Chronic Inflammatory Demyelinating Polyradiculoneuropathy  ,9.0,4,6.0,,,
Gamunex,,,"August 27, 2003",Bayer Corporation,"Primary Immunodeficiency Syndrome, Immune Thrombocytopenia, Chronic Inflammatory Demyelinating Polyradiculoneuropathy",https://www.drugs.com/gamunex.html,https://www.drugs.com/mtm/immune-globulin-intravenous-and-subcutaneous.html,Immune globulins,,,8.3,11,https://www.drugs.com/comments/immune-globulin-intravenous-and-subcutaneous/gamunex-c.html,https://www.drugs.com/sfx/gamunex-c-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,Chronic Inflammatory Demyelinating Polyradiculoneuropathy  ,9.0,4,6.0,,,
Gamunex,,,"August 27, 2003",Bayer Corporation,"Primary Immunodeficiency Syndrome, Immune Thrombocytopenia, Chronic Inflammatory Demyelinating Polyradiculoneuropathy",https://www.drugs.com/gamunex.html,https://www.drugs.com/mtm/immune-globulin-intravenous-and-subcutaneous.html,Immune globulins,,,8.3,11,https://www.drugs.com/comments/immune-globulin-intravenous-and-subcutaneous/gamunex-c.html,https://www.drugs.com/sfx/gamunex-c-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,Chronic Inflammatory Demyelinating Polyradiculoneuropathy  ,9.0,4,6.0,,,
Gamunex,,,"August 27, 2003",Bayer Corporation,"Primary Immunodeficiency Syndrome, Immune Thrombocytopenia, Chronic Inflammatory Demyelinating Polyradiculoneuropathy",https://www.drugs.com/gamunex.html,https://www.drugs.com/mtm/immune-globulin-intravenous-and-subcutaneous.html,Immune globulins,,,8.3,11,https://www.drugs.com/comments/immune-globulin-intravenous-and-subcutaneous/gamunex-c.html,https://www.drugs.com/sfx/gamunex-c-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,Chronic Inflammatory Demyelinating Polyradiculoneuropathy  ,9.0,4,6.0,,,
Gardasil,,,"June 8, 2006","Merck & Co., Inc.",Human Papillomavirus Prophylaxis,https://www.drugs.com/gardasil.html,https://www.drugs.com/mtm/human-papillomavirus-hpv-vaccine-9-valent.html,Viral vaccines,,"Cervarix, human papillomavirus vaccine",5.2,37,https://www.drugs.com/comments/human-papillomavirus-vaccine/gardasil-9.html,https://www.drugs.com/sfx/gardasil-9-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,Human Papillomavirus Prophylaxis  ,5.2,34,1.0,,,
Gattex,teduglutide,for Injection,"December 21, 2012","NPS Pharmaceuticals, Inc.",Short Bowel Syndrome,https://www.drugs.com/gattex.html,https://www.drugs.com/mtm/teduglutide.html,Miscellaneous GI agents,,"somatropin, glutamine, teduglutide",,,,https://www.drugs.com/sfx/gattex-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,19.0,"$1,847.57",5 mg,https://www.drugs.com/price-guide/gattex
Gavreto,pralsetinib,Capsules,"September 4, 2020","Genentech, Inc.","Non-Small Cell Lung Cancer, Thyroid Cancer",https://www.drugs.com/gavreto.html,https://www.drugs.com/mtm/pralsetinib.html,Multikinase inhibitors,,"Opdivo, methotrexate, Keytruda, pembrolizumab, Avastin, doxorubicin, Armour Thyroid",,,,https://www.drugs.com/sfx/gavreto-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2020,,,,,39.0,"$11,744.75",100 mg,https://www.drugs.com/price-guide/gavreto
Gazyva,obinutuzumab,Injection,"November 1, 2013",Genentech,"Chronic Lymphocytic Leukemia, Follicular Lymphoma",https://www.drugs.com/gazyva.html,https://www.drugs.com/obinutuzumab.html,CD20 monoclonal antibodies,,"Imbruvica, Venclexta, rituximab, cyclophosphamide, Revlimid, Rituxan, lenalidomide",,,,https://www.drugs.com/sfx/gazyva-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2013,,,,,22.0,"$8,688.16",25 mg/mL,https://www.drugs.com/price-guide/gazyva
Gelnique,oxybutynin hydrochloride,Topical Gel  - formerly OTG,"January 27, 2009","Watson Pharmaceuticals, Inc.",Overactive Bladder,https://www.drugs.com/gelnique.html,https://www.drugs.com/oxybutynin.html,Oxytrol,,,,,,https://www.drugs.com/sfx/gelnique-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,1.0,$426.00,10%,https://www.drugs.com/price-guide/gelnique
Gemtesa,vibegron,Tablets,"December 23, 2020",Urovant Sciences,Overactive Bladder,https://www.drugs.com/gemtesa.html,https://www.drugs.com/vibegron.html,Urinary antispasmodics,,,7.5,150,https://www.drugs.com/comments/vibegron/gemtesa.html,https://www.drugs.com/sfx/gemtesa-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2020,,Overactive Bladder  ,7.5,144,5.0,$521.58,75 mg,https://www.drugs.com/price-guide/gemtesa
Genvoya,"cobicistat, elvitegravir, emtricitabine and tenofovir alafenamide",Tablets,"November 5, 2015","Gilead Sciences, Inc.",HIV Infection,https://www.drugs.com/genvoya.html,https://www.drugs.com/cons/elvitegravir-cobicistat-emtricitabine-and-tenofovir-alafenamide.html,Antiviral combinations,,"Biktarvy, Descovy, Truvada, Atripla, Stribild, Complera, Epzicom",7.3,129,https://www.drugs.com/comments/cobicistat-elvitegravir-emtricitabine-tenofovir-alafenamide/genvoya.html,https://www.drugs.com/sfx/genvoya-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,HIV Infection  ,7.3,128,24.0,"$4,201.71",150 mg-150 mg-200 mg-10 mg,https://www.drugs.com/price-guide/genvoya
Gilenya,fingolimod,Capsules  - formerly FTY720,"September 21, 2010",Novartis,Multiple Sclerosis,https://www.drugs.com/gilenya.html,https://www.drugs.com/mtm/fingolimod.html,Tascenso ODT,,"Vumerity, Zeposia, Avonex, Copaxone, Aubagio, Tecfidera, Tysabri",7.1,95,https://www.drugs.com/comments/fingolimod/gilenya.html,https://www.drugs.com/sfx/gilenya-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2010,,Multiple Sclerosis  ,7.1,95,26.0,"$2,621.64",0.25 mg,https://www.drugs.com/price-guide/gilenya
Gilotrif,afatinib,Tablets,"July 12, 2013",Boehringer Ingelheim Pharmaceuticals Inc.,Non-Small Cell Lung Cancer,https://www.drugs.com/gilotrif.html,https://www.drugs.com/afatinib.html,Multikinase inhibitors,,,,,,https://www.drugs.com/sfx/gilotrif-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2013,,,,,12.0,"$12,064.57",20 mg,https://www.drugs.com/price-guide/gilotrif
Gimoti,metoclopramide,Nasal Spray,"June 19, 2020","Evoke Pharma, Inc.",Gastroparesis,https://www.drugs.com/gimoti.html,https://www.drugs.com/metoclopramide.html,GI stimulants,,,,,,https://www.drugs.com/sfx/gimoti-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,2.0,"$2,234.49",15 mg/actuation,https://www.drugs.com/price-guide/gimoti
Givlaari,givosiran,Injection,"November 20, 2019","Alnylam Pharmaceuticals, Inc.",Acute Hepatic Porphyria,https://www.drugs.com/givlaari.html,https://www.drugs.com/mtm/givosiran.html,Miscellaneous metabolic agents,,,,,,https://www.drugs.com/sfx/givlaari-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2019,,,,,21.0,"$43,577.38",189 mg/mL,https://www.drugs.com/price-guide/givlaari
Glassia,,,"July 1, 2010",Kamada Ltd.,Alpha-1 Proteinase Inhibitor Deficiency,https://www.drugs.com/glassia.html,https://www.drugs.com/mtm/alpha-1-proteinase-inhibitor.html,Miscellaneous respiratory agents,,"Prolastin-C, alpha 1-proteinase inhibitor, Aralast NP, Prolastin, Aralast",,,,https://www.drugs.com/sfx/glassia-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,17.0,$10.18,human,https://www.drugs.com/price-guide/glassia
Glyxambi,empagliflozin and linagliptin,Tablets,"January 30, 2015","Boehringer Ingelheim Pharmaceuticals, Inc. and Eli Lilly and Company","Diabetes, Type 2",https://www.drugs.com/glyxambi.html,https://www.drugs.com/mtm/empagliflozin-and-linagliptin.html,Antidiabetic combinations,,,6.5,22,https://www.drugs.com/comments/empagliflozin-linagliptin/glyxambi.html,https://www.drugs.com/sfx/glyxambi-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,"Diabetes, Type 2  ",6.5,22,5.0,$652.99,10 mg-5 mg,https://www.drugs.com/price-guide/glyxambi
Gocovri,amantadine hydrochloride,Extended-Release Capsules  - formerly ADS-5102,"August 24, 2017","Adamas Pharmaceuticals, Inc.",Parkinson's Disease,https://www.drugs.com/gocovri.html,https://www.drugs.com/amantadine.html,Dopaminergic antiparkinsonism agents,,"diphenhydramine, Benadryl, ropinirole, benztropine, pramipexole, carbidopa / levodopa, amantadine",,,,https://www.drugs.com/sfx/gocovri-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,12.0,"$3,484.51",68.5 mg,https://www.drugs.com/price-guide/gocovri
Gralise,gabapentin,Extended Release Tablets  - formerly DM-1796,"January 28, 2011","Depomed, Inc.",Postherpetic Neuralgia,https://www.drugs.com/gralise.html,https://www.drugs.com/gabapentin.html,Gamma-aminobutyric acid analogs,,"gabapentin, pregabalin, Lyrica, lidocaine topical, Neurontin, capsaicin topical",6.8,12,https://www.drugs.com/comments/gabapentin/gralise.html,https://www.drugs.com/sfx/gralise-side-effects.html,Prescription only,Risk data available,Varies by state,Drug history at FDA,,Postherpetic Neuralgia  ,7.5,8,2.0,"$1,017.98",300 mg/24 hours,https://www.drugs.com/price-guide/gralise
Gvoke,glucagon,Injection,"September 10, 2019","Xeris Pharmaceuticals, Inc.",Hypoglycemia,https://www.drugs.com/gvoke.html,https://www.drugs.com/glucagon.html,Glucose elevating agents,,,,,,https://www.drugs.com/sfx/gvoke-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,1.0,$342.29,1 mg/0.2 mL,https://www.drugs.com/price-guide/gvoke
Haegarda,,,"June 22, 2017",CSL Behring,Hereditary Angioedema,https://www.drugs.com/haegarda.html,https://www.drugs.com/mtm/complement-c1-esterase-inhibitor.html,Hereditary angioedema agents,,"Orladeyo, stanozolol, Ruconest, Berinert, Firazyr, Cinryze, Kalbitor",,,,https://www.drugs.com/sfx/haegarda-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,1.0,"$2,326.73",2000 intl units,https://www.drugs.com/price-guide/haegarda
Halaven,eribulin mesylate,Injection,"November 15, 2010","Eisai Co., Ltd.",,https://www.drugs.com/halaven.html,https://www.drugs.com/mtm/eribulin.html,Mitotic inhibitors,,,9.4,9,https://www.drugs.com/comments/eribulin/halaven.html,https://www.drugs.com/sfx/halaven-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,"Breast Cancer, Metastatic  ",9.4,8,41.0,"$1,494.23",1 mg/2 mL,https://www.drugs.com/price-guide/halaven
HalfLytely and Bisacodyl  Tablets,,,"May 10, 2004","Braintree Laboratories, Inc.",Bowel Preparation,https://www.drugs.com/halflytely.html,https://www.drugs.com/mtm/bisacodyl-and-polyethylene-glycol-peg-3350-with-electrolytes.html,Laxatives,,,,,,https://www.drugs.com/sfx/halflytely-and-bisacodyl-side-effects.html,Discontinued,Risk data available,Not a controlled drug,Drug history at FDA,,,,,7.0,,,
Harvoni,ledipasvir and sofosbuvir,Tablets and Oral Pellets,"October 10, 2014","Gilead Sciences, Inc.",Hepatitis C,https://www.drugs.com/harvoni.html,https://www.drugs.com/mtm/ledipasvir-and-sofosbuvir.html,Antiviral combinations,,"Vosevi, Epclusa, Mavyret, sofosbuvir / velpatasvir, Sovaldi",8.6,398,https://www.drugs.com/comments/ledipasvir-sofosbuvir/harvoni.html,https://www.drugs.com/sfx/harvoni-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,Hepatitis C  ,8.6,398,5.0,"$33,179.00",33.75 mg-150 mg,https://www.drugs.com/price-guide/harvoni
Hemgenix,etranacogene dezaparvovec-drlb,Suspension for Intravenous Infusion,"November 22, 2022",CSL,Hemophilia B,https://www.drugs.com/hemgenix.html,https://www.drugs.com/mtm/etranacogene-dezaparvovec.html,Miscellaneous uncategorized agents,,"Idelvion, coagulation factor ix, BeneFix, Alprolix, Ixinity, Rebinyn",,,,https://www.drugs.com/sfx/hemgenix-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,8.0,,,
Hemlibra,emicizumab-kxwh,Injection,"November 16, 2017","Genentech, Inc.","Hemophilia A with Inhibitors, Hemophilia A",https://www.drugs.com/hemlibra.html,https://www.drugs.com/mtm/emicizumab.html,Miscellaneous coagulation modifiers,,"tranexamic acid, desmopressin, Cyklokapron, DDAVP, antihemophilic factor, emicizumab, Profilnine",,,,https://www.drugs.com/sfx/hemlibra-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2017,,,,,5.0,"$3,545.95",kxwh 30 mg/mL,https://www.drugs.com/price-guide/hemlibra
HepaGam B,hepatitis B immune globulin,,"January 30, 2006",Cangene,Exposure to Hepatitis B Virus,https://www.drugs.com/hepagam_b.html,https://www.drugs.com/mtm/hepatitis-b-immune-globulin.html,HepaGam B NovaPlus,,,,,,https://www.drugs.com/sfx/hepagam-b-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,5.0,,,
Hepzato,melphalan,Lyophilized Powder for Injection,"August 14, 2023","Delcath Systems, Inc.",Uveal Melanoma,https://www.drugs.com/hepzato-kit.html,https://www.drugs.com/mtm/melphalan-oral-injection.html,Alkylating agents,,"melphalan, Kimmtrak, tebentafusp",,,,https://www.drugs.com/sfx/hepzato-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,1.0,,,
Herceptin Hylecta,trastuzumab and hyaluronidase-oysk,for Subcutaneous Injection,"February 28, 2019","Genentech, Inc.",Breast Cancer,https://www.drugs.com/herceptin-hylecta.html,https://www.drugs.com/mtm/hyaluronidase-and-trastuzumab.html,HER2 inhibitors,,"Enhertu, Kisqali, Ibrance, Trodelvy, Arimidex, Femara, Xeloda",,,,https://www.drugs.com/sfx/herceptin-hylecta-side-effects.html,Prescription only,Risk data available,Not a controlled drug,Drug history at FDA,,,,,49.0,"$4,932.53","10,000 units-600 mg/5 mL",https://www.drugs.com/price-guide/herceptin-hylecta
Hercessi,trastuzumab-strf,for Injection,"April 25, 2024","Accord BioPharma, Inc.","Breast Cancer, Gastric or Gastroesophageal Junction Adenocarcinoma",https://www.drugs.com/hercessi.html,https://www.drugs.com/mtm/trastuzumab.html,HER2 inhibitors,,,,,,https://www.drugs.com/sfx/hercessi-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,55.0,,,
Hetlioz,tasimelteon,Capsules,"January 31, 2014",Vanda Pharmaceuticals Inc.,Non-24-Hour Disorder; Smith-Magenis Syndrome Sleep Disturbance,https://www.drugs.com/hetlioz.html,https://www.drugs.com/mtm/tasimelteon.html,Hetlioz LQ,,"Hetlioz LQ, tasimelteon",,,,https://www.drugs.com/sfx/hetlioz-side-effects.html,Prescription only,Risk data available,Not a controlled drug, FDA approved 2014,,,,,3.0,"$25,080.36",20 mg,https://www.drugs.com/price-guide/hetlioz
Hiberix,,,"August 19, 2009",GlaxoSmithKline,Haemophilus influenzae Prophylaxis,https://www.drugs.com/hiberix.html,https://www.drugs.com/mtm/haemophilus-b-conjugate-prp-t-vaccine.html,ActHIB,,"rifampin, Rifadin, Pediarix, Pentacel, haemophilus b conjugate (prp-t) vaccine",,,,https://www.drugs.com/sfx/hiberix-side-effects.html,Prescription only,Risk data available,Not a controlled drug,,,,,,3.0,$139.30,Hiberix,https://www.drugs.com/price-guide/hiberix
