name,molecule,dosage_form,date_of_approval,company,treatment_for,url_x,molecule_url,drug_class,image,related_drugs,rating,reviews,reviews_url,Availability,Pregnancy & Lactation,CSA Schedule*,WADA Class,Approval History,most_reviewed_condition,most_reviewed_rating,n_reviews,url_y
RiaSTAP,,,"January 16, 2009",CSL Behring,Congenital Fibrinogen Deficiency,https://www.drugs.com/riastap.html,https://www.drugs.com/mtm/fibrinogen.html,Miscellaneous coagulation modifiers,,,,,,Prescription only,Risk data available,Not a controlled drug,,,,,,
Sabril,vigabatrin,Tablets and Oral Solution,"August 21, 2009",Lundbeck Inc.,"Epilepsy, Seizures",https://www.drugs.com/sabril.html,https://www.drugs.com/vigabatrin.html,Vigadrone,https://www.drugs.com/images/pills/fio/LBK01110.JPG,"gabapentin, clonazepam, lamotrigine, lorazepam, pregabalin, topiramate, diazepam",,,,Prescription only,Risk data available,Not a controlled drug,, FDA approved 2009,,,,
Samsca,tolvaptan,Tablets,"May 19, 2009","Otsuka Pharmaceutical Development & Commercialization, Inc.",Hyponatremia,https://www.drugs.com/samsca.html,https://www.drugs.com/mtm/tolvaptan.html,Vasopressin antagonists,https://www.drugs.com/images/pills/fio/OTS00200.JPG,,,,,Prescription only,Risk data available,Not a controlled drug,Anti-Doping Classification, FDA approved 2009,,,,
Ulesfia,benzyl alcohol,Lotion 5%  - formerly Summers’ Lice Asphyxiator,"April 9, 2009","Sciele Pharma, Inc.",Lice,https://www.drugs.com/ulesfia.html,https://www.drugs.com/benzyl-alcohol.html,Topical anti-infectives,,"ivermectin topical, sodium chloride topical, permethrin topical, Elimite, spinosad topical, Nix",,,,Discontinued,,Not a controlled drug,, FDA approved 2009,,,,
Vectical,calcitriol,Ointment,"January 23, 2009","Galderma Laboratories, L.P.",Psoriasis,https://www.drugs.com/vectical.html,https://www.drugs.com/mtm/calcitriol-topical.html,Topical antipsoriatics,,,,,,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,,,,
Vibativ,telavancin,Injection,"September 11, 2009",Theravance Inc.,"Skin and Structure Infection, Pneumonia",https://www.drugs.com/vibativ.html,https://www.drugs.com/mtm/telavancin.html,Glycopeptide antibiotics,,"amoxicillin, doxycycline, azithromycin, cephalexin, ciprofloxacin, metronidazole, clindamycin",,,,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,,,,
Wilate,,,"December 4, 2009",Octapharma USA,"von Willebrand Disease, Hemophilia A",https://www.drugs.com/wilate.html,https://www.drugs.com/mtm/antihemophilic-and-von-willebrand-factor-complex.html,Miscellaneous coagulation modifiers,,"tranexamic acid, desmopressin, Vonvendi, Hemlibra, Cyklokapron, DDAVP, antihemophilic factor",,,,Prescription only,Risk data available,Not a controlled drug,,,,,,
Xerese,acyclovir and hydrocortisone,Topical Cream  - formerly Lipsovir,"July 31, 2009",Meda Pharmaceuticals Inc.,Cold Sores,https://www.drugs.com/xerese.html,https://www.drugs.com/mtm/acyclovir-and-hydrocortisone-topical.html,Topical steroids with anti-infectives,,"acyclovir, valacyclovir, Valtrex, Zovirax, tetracaine topical",,,,Prescription only,Risk data available,Not a controlled drug,Anti-Doping Classification,Drug history at FDA,,,,
Zegerid OTC,omeprazole and sodium bicarbonate,Capsules,"December 1, 2009",Merck & Co. and Santarus Inc.,Heartburn,https://www.drugs.com/zegerid-otc.html,https://www.drugs.com/mtm/omeprazole-and-sodium-bicarbonate.html,Proton pump inhibitors,https://www.drugs.com/images/pills/custom/pill18769-1/zegerid-otc.jpg,,,,,Over the counter,Risk data available,Not a controlled drug,,Drug history at FDA,,,,
Zirgan,ganciclovir,Ophthalmic Gel,"September 15, 2009","Sirion Therapeutics, Inc.",Herpetic Keratitis,https://www.drugs.com/zirgan.html,https://www.drugs.com/mtm/ganciclovir-ophthalmic.html,Ophthalmic anti-infectives,,,,,,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,,,,
Zyprexa Relprevv,olanzapine,for Extended Release Injectable Suspension,"December 11, 2009",Lilly,Schizophrenia,https://www.drugs.com/zyprexa-relprevv.html,https://www.drugs.com/mtm/olanzapine.html,ZyPREXA,,"quetiapine, aripiprazole, Abilify, Seroquel, olanzapine, risperidone",,,,Prescription only,Risk data available,Not a controlled drug,,Drug history at FDA,,,,
